Nivel,Nodo,Altura_media_mm,Area_mm2,X_mm,Y_mm,Z_mm
4,5,,,0.624461,0.213095,0.076000
4,5,,,0.626314,0.213095,0.077000
4,5,,,0.628167,0.213095,0.077000
4,5,,,0.630020,0.213095,0.078000
4,5,,,0.631873,0.213095,0.077000
4,5,,,0.633726,0.213095,0.075000
4,5,,,0.617049,0.214948,0.072000
4,5,,,0.618902,0.214948,0.076000
4,5,,,0.620755,0.214948,0.078000
4,5,,,0.622608,0.214948,0.080000
4,5,,,0.624461,0.214948,0.081000
4,5,,,0.626314,0.214948,0.081000
4,5,,,0.628167,0.214948,0.080000
4,5,,,0.630020,0.214948,0.080000
4,5,,,0.631873,0.214948,0.078000
4,5,,,0.633726,0.214948,0.077000
4,5,,,0.635579,0.214948,0.075000
4,5,,,0.637432,0.214948,0.073000
4,5,,,0.639285,0.214948,0.070000
4,5,,,0.615196,0.216801,0.072000
4,5,,,0.617049,0.216801,0.076000
4,5,,,0.618902,0.216801,0.080000
4,5,,,0.620755,0.216801,0.082000
4,5,,,0.622608,0.216801,0.084000
4,5,,,0.624461,0.216801,0.084000
4,5,,,0.626314,0.216801,0.084000
4,5,,,0.628167,0.216801,0.082000
4,5,,,0.630020,0.216801,0.081000
4,5,,,0.631873,0.216801,0.080000
4,5,,,0.633726,0.216801,0.078000
4,5,,,0.635579,0.216801,0.077000
4,5,,,0.637432,0.216801,0.076000
4,5,,,0.639285,0.216801,0.075000
4,5,,,0.641138,0.216801,0.076000
4,5,,,0.642991,0.216801,0.075000
4,5,,,0.644844,0.216801,0.075000
4,5,,,0.646697,0.216801,0.073000
4,5,,,0.648550,0.216801,0.070000
4,5,,,0.613343,0.218654,0.071000
4,5,,,0.615196,0.218654,0.074000
4,5,,,0.617049,0.218654,0.078000
4,5,,,0.618902,0.218654,0.081000
4,5,,,0.620755,0.218654,0.084000
4,5,,,0.622608,0.218654,0.085000
4,5,,,0.624461,0.218654,0.086000
4,5,,,0.626314,0.218654,0.085000
4,5,,,0.628167,0.218654,0.084000
4,5,,,0.630020,0.218654,0.083000
4,5,,,0.631873,0.218654,0.082000
4,5,,,0.633726,0.218654,0.080000
4,5,,,0.635579,0.218654,0.079000
4,5,,,0.637432,0.218654,0.078000
4,5,,,0.639285,0.218654,0.079000
4,5,,,0.641138,0.218654,0.081000
4,5,,,0.642991,0.218654,0.084000
4,5,,,0.644844,0.218654,0.086000
4,5,,,0.646697,0.218654,0.086000
4,5,,,0.648550,0.218654,0.085000
4,5,,,0.650403,0.218654,0.081000
